# PulseOx, Arterial oxygen saturation
90.00, 96.77
90.00, 98.14
90.00, 88.11
90.00, 88.22
90.00, 90.03
90.00, 86.22
90.00, 85.82
90.00, 94.50
90.00, 85.64
90.00, 89.39
90.00, 93.11
90.00, 95.82
90.00, 91.41
90.00, 93.87
90.00, 87.52
90.00, 90.21
90.00, 86.45
90.00, 88.47
90.00, 88.78
90.00, 91.58
90.00, 92.57
90.00, 91.96
90.00, 85.48
90.00, 87.44
90.00, 89.58
90.00, 89.51
90.00, 98.81
90.00, 85.35
90.00, 87.23
90.00, 92.73
90.00, 93.99
90.00, 87.70
90.00, 95.07
90.00, 91.35
90.00, 85.65
90.00, 92.80
90.00, 84.55
90.00, 82.99
90.00, 81.88
90.00, 84.25
90.00, 89.49
90.00, 89.36
90.00, 85.86
90.00, 88.31
90.00, 90.79
90.00, 87.28
90.00, 94.43
90.00, 85.43
90.00, 83.04
90.00, 88.55
90.00, 88.16
91.00, 94.30
91.00, 86.51
91.00, 90.39
91.00, 88.05
91.00, 89.11
91.00, 91.30
91.00, 90.60
91.00, 89.86
91.00, 92.10
91.00, 91.03
91.00, 91.39
91.00, 92.07
91.00, 93.06
91.00, 91.36
91.00, 86.88
91.00, 89.84
91.00, 91.67
91.00, 94.69
91.00, 87.29
91.00, 92.20
91.00, 93.70
91.00, 90.26
91.00, 84.33
91.00, 91.27
91.00, 89.42
91.00, 96.26
91.00, 91.24
91.00, 88.74
91.00, 92.29
91.00, 90.94
91.00, 89.38
91.00, 78.19
91.00, 90.97
91.00, 89.62
91.00, 90.89
91.00, 94.45
91.00, 93.50
91.00, 88.37
91.00, 88.80
91.00, 89.56
91.00, 92.00
91.00, 85.54
91.00, 90.45
91.00, 91.40
91.00, 89.79
91.00, 91.20
91.00, 83.97
91.00, 84.46
91.00, 87.77
91.00, 90.55
91.00, 81.77
91.00, 91.49
91.00, 85.38
91.00, 87.83
91.00, 82.90
91.00, 91.87
91.00, 90.99
91.00, 87.48
91.00, 92.01
91.00, 92.15
91.00, 92.07
91.00, 83.04
91.00, 92.27
91.00, 89.04
91.00, 93.71
91.00, 90.63
91.00, 94.75
91.00, 89.36
91.00, 69.09
91.00, 85.92
91.00, 91.09
91.00, 90.74
91.00, 91.19
91.00, 95.77
91.00, 91.50
91.00, 95.04
91.00, 92.90
91.00, 87.32
91.00, 89.08
91.00, 86.27
91.00, 90.53
91.00, 90.44
91.00, 91.94
91.00, 90.87
91.00, 87.61
91.00, 91.47
91.00, 90.80
91.00, 89.80
91.00, 89.02
91.00, 86.46
91.00, 85.76
91.00, 92.00
91.00, 80.92
91.00, 88.38
91.00, 90.83
91.00, 91.04
91.00, 91.09
91.00, 90.66
91.00, 90.77
91.00, 92.11
91.00, 84.09
91.00, 90.64
91.00, 91.95
91.00, 94.18
91.00, 88.57
91.00, 87.47
91.00, 93.48
91.00, 84.72
91.00, 93.04
91.00, 94.23
91.00, 91.45
91.00, 74.99
91.00, 90.64
91.00, 92.34
91.00, 91.89
91.00, 89.31
91.00, 89.31
91.00, 89.60
91.00, 92.46
91.00, 91.65
91.00, 87.93
91.00, 92.66
91.00, 84.63
91.00, 79.72
91.00, 93.98
91.00, 92.21
91.00, 92.99
91.00, 90.26
91.00, 89.57
91.00, 92.75
91.00, 92.69
91.00, 88.09
91.00, 90.32
91.00, 92.62
91.00, 90.24
91.00, 91.70
91.00, 91.94
91.00, 92.60
91.00, 87.49
91.00, 91.12
91.00, 91.56
91.00, 88.45
91.00, 91.31
91.00, 89.30
91.00, 91.03
91.00, 93.80
91.00, 91.57
91.00, 90.02
91.00, 86.21
91.00, 80.62
91.00, 86.41
91.00, 90.69
91.00, 84.74
91.00, 95.54
91.00, 91.97
91.00, 94.23
91.00, 88.89
91.00, 83.61
91.00, 93.72
91.00, 91.10
91.00, 91.77
91.00, 93.72
91.00, 90.60
91.00, 82.53
91.00, 89.65
91.00, 90.25
91.00, 91.41
91.00, 79.29
91.00, 92.41
91.00, 90.76
91.00, 87.28
91.00, 93.91
91.00, 88.15
91.00, 95.32
91.00, 91.84
91.00, 88.88
91.00, 87.80
91.00, 93.28
91.00, 89.27
91.00, 95.29
91.00, 88.49
91.00, 93.71
91.00, 93.87
91.00, 84.73
91.00, 92.37
91.00, 93.14
91.00, 93.70
91.00, 91.32
91.00, 92.46
91.00, 91.92
91.00, 90.36
91.00, 90.27
91.00, 89.17
91.00, 90.86
91.00, 92.97
91.00, 92.25
91.00, 85.69
91.00, 90.18
91.00, 93.08
91.00, 88.14
91.00, 96.11
91.00, 90.97
91.00, 91.85
91.00, 88.19
91.00, 92.80
91.00, 91.02
91.00, 93.40
91.00, 94.55
91.00, 90.96
91.00, 87.12
91.00, 91.96
91.00, 91.69
91.00, 94.60
91.00, 76.94
91.00, 91.47
91.00, 91.42
91.00, 91.93
91.00, 90.15
91.00, 86.62
91.00, 90.95
91.00, 90.32
91.00, 93.55
91.00, 94.69
91.00, 82.73
91.00, 94.17
91.00, 91.84
91.00, 93.57
91.00, 94.23
91.00, 93.76
91.00, 93.20
91.00, 87.87
92.00, 94.53
92.00, 89.11
92.00, 93.49
92.00, 87.51
92.00, 91.72
92.00, 87.28
92.00, 90.33
92.00, 89.17
92.00, 89.26
92.00, 93.11
92.00, 92.57
92.00, 90.15
92.00, 92.43
92.00, 92.88
92.00, 91.16
92.00, 88.31
92.00, 88.60
92.00, 95.37
92.00, 94.80
92.00, 89.97
92.00, 93.57
92.00, 90.01
92.00, 86.81
92.00, 91.81
92.00, 95.96
92.00, 87.71
92.00, 92.56
92.00, 93.19
92.00, 88.27
92.00, 89.13
92.00, 91.77
92.00, 92.37
92.00, 93.61
92.00, 93.04
92.00, 91.93
92.00, 94.67
92.00, 90.73
92.00, 90.09
92.00, 94.21
92.00, 88.48
92.00, 90.20
92.00, 91.51
92.00, 91.25
92.00, 88.07
92.00, 89.10
92.00, 94.37
92.00, 87.13
92.00, 87.72
92.00, 92.30
92.00, 95.43
92.00, 91.76
92.00, 96.23
92.00, 90.48
92.00, 87.54
92.00, 86.61
92.00, 92.45
92.00, 99.66
92.00, 95.92
92.00, 92.61
92.00, 90.31
92.00, 88.83
92.00, 92.26
92.00, 92.75
92.00, 90.13
92.00, 90.17
92.00, 91.43
92.00, 90.55
92.00, 93.15
92.00, 87.66
92.00, 87.72
92.00, 87.94
92.00, 88.01
92.00, 90.25
92.00, 90.91
92.00, 94.56
92.00, 92.55
92.00, 91.53
92.00, 94.35
92.00, 96.53
92.00, 92.74
92.00, 94.22
92.00, 91.23
92.00, 86.71
92.00, 95.76
92.00, 93.47
92.00, 93.58
92.00, 91.43
92.00, 94.19
92.00, 92.35
92.00, 82.64
92.00, 94.21
92.00, 93.11
92.00, 95.16
92.00, 97.13
92.00, 80.20
92.00, 91.22
92.00, 92.24
92.00, 97.99
92.00, 91.90
92.00, 93.27
92.00, 91.33
92.00, 93.85
92.00, 98.81
92.00, 92.84
92.00, 92.44
92.00, 93.00
92.00, 93.64
92.00, 89.30
92.00, 93.64
92.00, 88.74
92.00, 88.37
92.00, 93.98
92.00, 93.93
92.00, 97.00
92.00, 96.02
92.00, 91.66
92.00, 90.02
92.00, 92.21
92.00, 95.79
92.00, 90.81
92.00, 91.23
92.00, 90.72
92.00, 97.71
92.00, 90.72
92.00, 93.03
92.00, 93.92
92.00, 90.34
92.00, 89.74
92.00, 90.79
92.00, 93.69
92.00, 85.38
92.00, 89.13
92.00, 89.60
92.00, 91.17
92.00, 93.80
92.00, 94.00
92.00, 94.59
92.00, 88.26
92.00, 93.03
92.00, 89.49
92.00, 92.35
92.00, 91.29
92.00, 90.30
92.00, 91.32
92.00, 95.18
92.00, 86.94
92.00, 91.20
92.00, 90.26
92.00, 91.01
92.00, 87.66
92.00, 88.47
92.00, 91.69
92.00, 93.06
92.00, 89.34
92.00, 91.50
92.00, 95.20
92.00, 86.66
92.00, 91.74
92.00, 95.00
92.00, 94.62
92.00, 89.05
92.00, 93.76
92.00, 92.10
92.00, 93.78
92.00, 86.48
92.00, 98.88
92.00, 93.18
92.00, 90.81
92.00, 96.00
92.00, 94.42
92.00, 91.71
92.00, 87.88
92.00, 95.06
92.00, 90.84
92.00, 92.87
92.00, 97.10
92.00, 90.15
92.00, 80.86
92.00, 90.69
92.00, 96.46
92.00, 90.96
92.00, 88.46
92.00, 87.09
92.00, 88.75
92.00, 92.36
92.00, 90.29
92.00, 88.95
92.00, 96.03
92.00, 95.42
92.00, 88.27
92.00, 91.37
92.00, 89.85
92.00, 89.61
92.00, 97.14
92.00, 92.70
92.00, 91.01
92.00, 94.96
92.00, 92.79
92.00, 93.05
92.00, 94.37
92.00, 96.16
92.00, 92.92
92.00, 92.42
92.00, 95.19
92.00, 87.03
92.00, 87.20
92.00, 92.47
92.00, 84.53
92.00, 88.58
92.00, 90.52
92.00, 93.69
92.00, 88.93
92.00, 88.43
92.00, 96.51
92.00, 94.81
92.00, 91.56
92.00, 91.26
92.00, 86.36
92.00, 94.08
92.00, 95.31
92.00, 93.66
92.00, 90.29
92.00, 90.21
92.00, 89.02
92.00, 93.23
92.00, 92.31
92.00, 93.83
92.00, 97.77
92.00, 98.99
92.00, 92.81
92.00, 93.03
92.00, 88.33
92.00, 95.84
92.00, 87.10
92.00, 93.26
92.00, 94.95
92.00, 91.50
92.00, 93.87
92.00, 89.03
92.00, 88.82
92.00, 92.58
92.00, 88.75
92.00, 90.22
92.00, 90.59
92.00, 92.95
92.00, 90.91
92.00, 95.43
92.00, 97.19
92.00, 93.29
92.00, 90.91
92.00, 95.01
92.00, 90.77
92.00, 92.46
92.00, 92.66
92.00, 88.69
92.00, 87.41
92.00, 90.36
92.00, 96.17
92.00, 93.07
92.00, 93.25
92.00, 92.46
92.00, 93.62
92.00, 98.11
92.00, 89.70
92.00, 90.58
92.00, 88.29
92.00, 84.50
92.00, 90.83
92.00, 93.09
92.00, 88.52
92.00, 89.20
92.00, 84.30
92.00, 96.48
92.00, 93.23
92.00, 94.63
92.00, 96.81
92.00, 92.06
92.00, 91.15
92.00, 88.11
92.00, 89.36
92.00, 86.23
92.00, 90.58
92.00, 94.36
92.00, 93.56
92.00, 96.78
92.00, 86.52
92.00, 92.14
92.00, 92.50
92.00, 82.92
92.00, 91.32
92.00, 96.76
92.00, 88.86
92.00, 94.43
92.00, 94.47
92.00, 97.12
92.00, 89.96
92.00, 88.55
92.00, 92.29
92.00, 95.22
92.00, 97.98
92.00, 91.56
92.00, 91.84
92.00, 94.43
92.00, 94.50
92.00, 97.37
92.00, 91.45
92.00, 91.36
92.00, 92.11
92.00, 97.11
92.00, 92.51
92.00, 95.39
92.00, 86.54
92.00, 88.41
92.00, 85.01
93.00, 96.88
93.00, 91.60
93.00, 93.00
93.00, 95.55
93.00, 94.74
93.00, 95.97
93.00, 91.10
93.00, 95.36
93.00, 93.84
93.00, 92.63
93.00, 95.01
93.00, 81.51
93.00, 92.10
93.00, 90.37
93.00, 89.56
93.00, 92.16
93.00, 89.43
93.00, 88.40
93.00, 90.57
93.00, 91.78
93.00, 90.14
93.00, 90.91
93.00, 93.07
93.00, 89.96
93.00, 91.93
93.00, 90.39
93.00, 89.49
93.00, 88.66
93.00, 87.91
93.00, 91.99
93.00, 92.94
93.00, 93.84
93.00, 95.54
93.00, 91.64
93.00, 92.88
93.00, 93.96
93.00, 89.78
93.00, 94.89
93.00, 94.27
93.00, 91.85
93.00, 90.71
93.00, 93.91
93.00, 91.19
93.00, 89.74
93.00, 93.91
93.00, 89.12
93.00, 83.33
93.00, 92.03
93.00, 94.49
93.00, 93.76
93.00, 92.59
93.00, 92.34
93.00, 95.08
93.00, 89.86
93.00, 92.38
93.00, 91.63
93.00, 94.57
93.00, 91.02
93.00, 87.26
93.00, 87.47
93.00, 92.90
93.00, 86.71
93.00, 90.77
93.00, 90.10
93.00, 91.17
93.00, 77.79
93.00, 83.04
93.00, 92.16
93.00, 93.43
93.00, 86.82
93.00, 94.24
93.00, 94.02
93.00, 92.14
93.00, 93.04
93.00, 95.92
93.00, 92.68
93.00, 90.76
93.00, 94.28
93.00, 87.78
93.00, 92.02
93.00, 91.63
93.00, 92.60
93.00, 91.39
93.00, 90.24
93.00, 90.37
93.00, 88.97
93.00, 92.14
93.00, 90.48
93.00, 91.45
93.00, 93.98
93.00, 94.35
93.00, 88.92
93.00, 88.86
93.00, 86.71
93.00, 93.75
93.00, 89.73
93.00, 84.89
93.00, 85.84
93.00, 93.52
93.00, 94.74
93.00, 92.32
93.00, 87.63
93.00, 94.36
93.00, 90.75
93.00, 94.43
93.00, 87.27
93.00, 92.18
93.00, 92.72
93.00, 90.44
93.00, 92.39
93.00, 93.63
93.00, 91.86
93.00, 93.95
93.00, 90.19
93.00, 94.42
93.00, 88.56
93.00, 94.76
93.00, 93.68
93.00, 88.44
93.00, 93.25
93.00, 89.97
93.00, 89.90
93.00, 91.27
93.00, 88.90
93.00, 90.43
93.00, 74.35
93.00, 93.18
93.00, 92.72
93.00, 92.27
93.00, 91.72
93.00, 94.54
93.00, 94.50
93.00, 90.54
93.00, 90.44
93.00, 91.75
93.00, 90.19
93.00, 88.51
93.00, 92.90
93.00, 93.87
93.00, 83.12
93.00, 86.18
93.00, 95.26
93.00, 82.19
93.00, 93.46
93.00, 93.17
93.00, 91.52
93.00, 94.05
93.00, 94.61
93.00, 94.09
93.00, 92.13
93.00, 93.91
93.00, 94.27
93.00, 92.45
93.00, 94.53
93.00, 92.24
93.00, 93.19
93.00, 76.02
93.00, 91.02
93.00, 93.93
93.00, 93.24
93.00, 95.68
93.00, 94.45
93.00, 92.17
93.00, 95.08
93.00, 92.11
93.00, 88.92
93.00, 93.96
93.00, 90.50
93.00, 93.42
93.00, 89.80
93.00, 93.04
93.00, 89.86
93.00, 90.73
93.00, 87.64
93.00, 93.50
93.00, 90.14
93.00, 94.12
93.00, 93.00
93.00, 91.60
93.00, 94.46
93.00, 88.89
93.00, 88.66
93.00, 93.45
93.00, 91.43
93.00, 91.32
93.00, 89.26
93.00, 88.86
93.00, 95.54
93.00, 90.65
93.00, 92.25
93.00, 88.51
93.00, 93.62
93.00, 92.58
93.00, 94.86
93.00, 85.55
93.00, 94.17
93.00, 87.56
93.00, 92.61
93.00, 93.44
93.00, 81.34
93.00, 90.13
93.00, 85.45
93.00, 94.83
93.00, 93.66
93.00, 92.35
93.00, 92.57
93.00, 88.44
93.00, 92.04
93.00, 92.37
93.00, 97.67
93.00, 94.65
93.00, 95.64
93.00, 91.40
93.00, 90.63
93.00, 92.05
93.00, 95.79
93.00, 96.06
93.00, 90.07
93.00, 88.78
93.00, 92.41
93.00, 94.90
93.00, 87.33
93.00, 87.50
93.00, 93.22
93.00, 92.34
93.00, 93.58
93.00, 94.35
93.00, 88.27
93.00, 92.70
93.00, 92.69
93.00, 86.88
93.00, 90.23
93.00, 90.72
93.00, 93.05
93.00, 88.07
93.00, 92.94
93.00, 91.03
93.00, 96.01
93.00, 94.65
93.00, 90.92
93.00, 82.35
93.00, 94.27
93.00, 96.75
93.00, 95.38
93.00, 88.79
93.00, 91.74
93.00, 86.60
93.00, 91.51
93.00, 93.49
93.00, 90.23
93.00, 92.28
93.00, 95.44
93.00, 93.49
93.00, 86.28
93.00, 80.61
93.00, 92.49
93.00, 96.68
93.00, 95.01
93.00, 91.66
93.00, 94.96
93.00, 93.74
93.00, 91.72
93.00, 92.64
93.00, 93.02
93.00, 83.60
93.00, 95.96
93.00, 93.01
93.00, 93.96
93.00, 94.24
93.00, 93.00
93.00, 86.44
93.00, 92.95
93.00, 93.62
93.00, 85.33
93.00, 94.65
93.00, 91.93
93.00, 92.35
93.00, 95.31
93.00, 93.76
93.00, 90.42
93.00, 94.62
93.00, 94.63
93.00, 94.75
93.00, 86.77
93.00, 90.35
93.00, 92.12
93.00, 95.04
93.00, 87.81
93.00, 82.50
93.00, 91.40
93.00, 91.52
93.00, 93.13
93.00, 88.73
93.00, 93.02
93.00, 92.53
93.00, 94.16
93.00, 89.70
93.00, 92.37
93.00, 93.82
93.00, 93.28
93.00, 93.81
93.00, 87.38
93.00, 93.54
93.00, 94.55
93.00, 89.44
93.00, 92.74
93.00, 89.73
93.00, 84.93
93.00, 91.30
93.00, 86.52
93.00, 94.05
93.00, 94.24
93.00, 89.54
93.00, 92.96
93.00, 75.87
93.00, 89.95
93.00, 96.47
93.00, 89.03
93.00, 92.17
93.00, 94.70
93.00, 93.54
93.00, 89.35
93.00, 82.37
93.00, 92.58
93.00, 94.36
93.00, 93.33
93.00, 90.98
93.00, 93.57
93.00, 91.68
93.00, 91.88
93.00, 94.15
93.00, 92.94
93.00, 87.05
93.00, 96.02
93.00, 89.69
93.00, 89.79
93.00, 93.80
93.00, 83.07
93.00, 95.63
93.00, 93.16
93.00, 91.78
93.00, 90.61
93.00, 92.36
93.00, 86.29
93.00, 91.43
93.00, 93.50
93.00, 93.86
93.00, 94.39
93.00, 92.62
93.00, 92.65
93.00, 92.34
93.00, 93.45
93.00, 94.25
93.00, 95.59
93.00, 93.19
93.00, 89.52
93.00, 94.86
93.00, 94.62
93.00, 92.96
93.00, 94.23
93.00, 91.53
93.00, 93.47
93.00, 89.62
93.00, 90.60
93.00, 82.41
93.00, 80.63
93.00, 92.02
93.00, 89.20
93.00, 91.84
93.00, 87.28
93.00, 87.36
93.00, 92.72
93.00, 93.14
93.00, 87.34
93.00, 95.12
93.00, 88.44
93.00, 88.95
93.00, 90.08
93.00, 95.35
93.00, 92.45
93.00, 92.77
93.00, 92.13
93.00, 94.43
93.00, 92.46
93.00, 91.79
93.00, 92.94
93.00, 90.63
93.00, 91.76
93.00, 90.51
93.00, 93.70
93.00, 91.30
93.00, 89.68
93.00, 94.32
93.00, 89.55
93.00, 94.27
93.00, 90.41
93.00, 81.43
93.00, 91.31
93.00, 92.81
93.00, 89.99
93.00, 90.79
93.00, 94.24
93.00, 91.70
93.00, 96.29
93.00, 93.04
93.00, 95.75
93.00, 93.34
93.00, 93.58
93.00, 91.17
93.00, 94.15
93.00, 94.04
93.00, 92.93
93.00, 96.94
93.00, 91.51
93.00, 94.07
93.00, 93.12
93.00, 86.17
93.00, 89.62
93.00, 92.99
93.00, 89.67
93.00, 91.40
93.00, 92.42
93.00, 91.20
93.00, 95.43
93.00, 90.87
93.00, 95.46
93.00, 85.77
93.00, 92.64
93.00, 95.99
93.00, 91.66
93.00, 94.94
93.00, 93.23
93.00, 88.31
93.00, 91.43
93.00, 88.72
93.00, 89.63
93.00, 88.14
93.00, 91.37
94.00, 92.99
94.00, 90.15
94.00, 93.63
94.00, 94.45
94.00, 93.37
94.00, 91.33
94.00, 95.26
94.00, 93.86
94.00, 90.69
94.00, 89.36
94.00, 93.47
94.00, 95.07
94.00, 92.92
94.00, 90.54
94.00, 92.43
94.00, 93.65
94.00, 90.25
94.00, 92.62
94.00, 94.67
94.00, 97.77
94.00, 90.16
94.00, 91.88
94.00, 90.19
94.00, 93.41
94.00, 90.65
94.00, 91.94
94.00, 97.36
94.00, 91.59
94.00, 96.00
94.00, 96.74
94.00, 93.62
94.00, 96.70
94.00, 93.00
94.00, 92.30
94.00, 92.08
94.00, 92.84
94.00, 93.81
94.00, 89.65
94.00, 94.05
94.00, 92.73
94.00, 91.69
94.00, 90.59
94.00, 94.02
94.00, 93.88
94.00, 92.96
94.00, 96.44
94.00, 93.65
94.00, 91.69
94.00, 96.62
94.00, 95.99
94.00, 95.60
94.00, 91.31
94.00, 91.80
94.00, 90.04
94.00, 95.67
94.00, 92.14
94.00, 94.86
94.00, 96.45
94.00, 91.61
94.00, 90.87
94.00, 90.79
94.00, 90.86
94.00, 88.75
94.00, 88.06
94.00, 91.39
94.00, 94.81
94.00, 90.22
94.00, 94.15
94.00, 91.05
94.00, 90.82
94.00, 93.13
94.00, 90.29
94.00, 93.22
94.00, 98.90
94.00, 94.25
94.00, 96.46
94.00, 96.40
94.00, 90.03
94.00, 89.39
94.00, 90.96
94.00, 93.10
94.00, 92.24
94.00, 92.34
94.00, 89.97
94.00, 98.86
94.00, 92.02
94.00, 90.64
94.00, 92.65
94.00, 95.12
94.00, 94.56
94.00, 93.57
94.00, 90.72
94.00, 91.96
94.00, 95.88
94.00, 89.16
94.00, 92.98
94.00, 89.61
94.00, 96.16
94.00, 92.06
94.00, 92.50
94.00, 96.80
94.00, 96.46
94.00, 93.19
94.00, 94.88
94.00, 98.10
94.00, 95.74
94.00, 93.20
94.00, 95.24
94.00, 91.66
94.00, 92.26
94.00, 91.42
94.00, 88.65
94.00, 92.61
94.00, 93.73
94.00, 94.05
94.00, 93.13
94.00, 90.41
94.00, 91.25
94.00, 89.38
94.00, 97.26
94.00, 96.49
94.00, 94.38
94.00, 93.45
94.00, 90.75
94.00, 91.98
94.00, 92.79
94.00, 91.45
94.00, 93.85
94.00, 93.84
94.00, 92.12
94.00, 91.23
94.00, 95.50
94.00, 90.94
94.00, 93.32
94.00, 90.60
94.00, 91.08
94.00, 89.92
94.00, 92.11
94.00, 90.11
94.00, 94.56
94.00, 90.72
94.00, 91.16
94.00, 95.62
94.00, 90.40
94.00, 90.54
94.00, 91.63
94.00, 94.42
94.00, 93.56
94.00, 94.56
94.00, 91.28
94.00, 93.75
94.00, 90.72
94.00, 89.78
94.00, 93.98
94.00, 90.86
94.00, 94.33
94.00, 90.88
94.00, 92.39
94.00, 92.40
94.00, 97.72
94.00, 94.97
94.00, 97.47
94.00, 95.54
94.00, 90.40
94.00, 91.20
94.00, 89.30
94.00, 94.75
94.00, 94.77
94.00, 91.76
94.00, 94.17
94.00, 93.24
94.00, 94.27
94.00, 90.40
94.00, 93.12
94.00, 89.24
94.00, 93.13
94.00, 94.62
94.00, 92.02
94.00, 92.57
94.00, 90.77
94.00, 90.22
94.00, 95.20
94.00, 91.07
94.00, 92.13
94.00, 92.88
94.00, 90.23
94.00, 92.73
94.00, 92.92
94.00, 93.62
94.00, 92.22
94.00, 89.37
94.00, 93.68
94.00, 91.38
94.00, 95.36
94.00, 95.26
94.00, 93.35
94.00, 93.18
94.00, 93.54
94.00, 92.53
94.00, 90.19
94.00, 95.83
94.00, 89.55
94.00, 96.40
94.00, 92.67
94.00, 92.42
94.00, 91.37
94.00, 92.68
94.00, 95.46
94.00, 90.73
94.00, 91.64
94.00, 93.27
94.00, 92.43
94.00, 91.44
94.00, 91.25
94.00, 94.85
94.00, 94.06
94.00, 97.51
94.00, 89.86
94.00, 92.06
94.00, 91.55
94.00, 92.05
94.00, 91.74
94.00, 93.52
94.00, 90.26
94.00, 93.62
94.00, 89.94
94.00, 92.02
94.00, 91.09
94.00, 96.07
94.00, 95.15
94.00, 92.64
94.00, 91.73
94.00, 95.52
94.00, 89.38
94.00, 90.75
94.00, 91.35
94.00, 90.83
94.00, 90.18
94.00, 94.93
94.00, 93.92
94.00, 92.14
94.00, 91.49
94.00, 95.50
94.00, 84.80
94.00, 94.59
94.00, 91.86
94.00, 93.78
94.00, 92.20
94.00, 89.57
94.00, 91.59
94.00, 90.36
94.00, 92.14
94.00, 86.34
94.00, 92.46
94.00, 96.23
94.00, 92.28
94.00, 92.09
94.00, 88.90
94.00, 92.11
94.00, 88.92
94.00, 94.87
94.00, 98.84
94.00, 93.18
94.00, 90.59
94.00, 93.16
94.00, 89.50
94.00, 93.13
94.00, 98.32
94.00, 90.55
94.00, 94.79
94.00, 92.64
94.00, 93.39
94.00, 92.85
94.00, 94.06
94.00, 94.72
94.00, 91.61
94.00, 90.60
94.00, 92.80
94.00, 90.16
94.00, 93.98
94.00, 91.05
94.00, 89.25
94.00, 93.29
94.00, 92.57
94.00, 90.21
94.00, 91.18
94.00, 90.61
94.00, 94.75
94.00, 94.31
94.00, 94.04
94.00, 94.19
94.00, 91.38
94.00, 95.03
94.00, 92.65
94.00, 88.82
94.00, 94.67
94.00, 94.86
94.00, 92.50
